,author,repo,file,has_type,name,docstring,func_descr,arg_names,arg_types,arg_descrs,return_type,return_expr,return_descr,lineno,full_name,arg_full_names,arg_names_len,arg_types_len
0,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,index,,,['self'],[''],[''],int,[],,37,__index__,['self'],1,1
1,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,class,,,['self'],['_T'],[''],Type[_T],[],,48,__class__,['self'],1,1
2,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,class,,,"['self', 'type']","['', 'Type[object]']","['', '']",None,[],,50,__class__,"['self', '__type']",2,2
3,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,init,,,['self'],[''],[''],None,[],,51,__init__,['self'],1,1
4,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,new,,,['cl'],[''],[''],Any,[],,52,__new__,['cls'],1,1
5,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,setattr,,,"['self', 'name', 'value']","['', 'str', 'Any']","['', '', '']",None,[],,53,__setattr__,"['self', 'name', 'value']",3,3
6,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,eq,,,"['self', 'o']","['', 'object']","['', '']",bool,[],,54,__eq__,"['self', 'o']",2,2
7,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,ne,,,"['self', 'o']","['', 'object']","['', '']",bool,[],,55,__ne__,"['self', 'o']",2,2
8,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,str,,,['self'],[''],[''],str,[],,56,__str__,['self'],1,1
9,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,repr,,,['self'],[''],[''],str,[],,57,__repr__,['self'],1,1
10,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,hash,,,['self'],[''],[''],int,[],,58,__hash__,['self'],1,1
11,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,format,,,"['self', 'format spec']","['', 'str']","['', '']",str,[],,59,__format__,"['self', 'format_spec']",2,2
12,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,getattribute,,,"['self', 'name']","['', 'str']","['', '']",Any,[],,60,__getattribute__,"['self', 'name']",2,2
13,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,delattr,,,"['self', 'name']","['', 'str']","['', '']",None,[],,61,__delattr__,"['self', 'name']",2,2
14,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,sizeof,,,['self'],[''],[''],int,[],,62,__sizeof__,['self'],1,1
15,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,reduce,,,['self'],[''],[''],"Union[str, Tuple[Any, ...]]",[],,63,__reduce__,['self'],1,1
16,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,reduce ex,,,"['self', 'protocol']","['', 'int']","['', '']","Union[str, Tuple[Any, ...]]",[],,64,__reduce_ex__,"['self', 'protocol']",2,2
17,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,dir,,,['self'],[''],[''],Iterable[str],[],,65,__dir__,['self'],1,1
18,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,init subclass,,,['cl'],[''],[''],None,[],,67,__init_subclass__,['cls'],1,1
19,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,init,,,"['self', 'f']","['', 'Callable[..., Any]']","['', '']",None,[],,73,__init__,"['self', 'f']",2,2
20,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,new,,,"['cl', 'args']","['Type[_T]', 'Any']","['', '']",_T,[],,74,__new__,"['cls', 'args']",2,2
21,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,get,,,"['self', 'obj', 'type']","['', '_T', 'Optional[Type[_T]]']","['', '', '']","Callable[..., Any]",[],,75,__get__,"['self', 'obj', 'type']",3,3
22,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,init,,,"['self', 'f']","['', 'Callable[..., Any]']","['', '']",None,[],,81,__init__,"['self', 'f']",2,2
23,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,new,,,"['cl', 'args']","['Type[_T]', 'Any']","['', '']",_T,[],,82,__new__,"['cls', 'args']",2,2
24,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,get,,,"['self', 'obj', 'type']","['', '_T', 'Optional[Type[_T]]']","['', '', '']","Callable[..., Any]",[],,83,__get__,"['self', 'obj', 'type']",3,3
25,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,init,,,"['self', 'o']","['', 'object']","['', '']",None,[],,101,__init__,"['self', 'o']",2,2
26,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,init,,,"['self', 'name', 'base', 'dict']","['', 'str', 'Tuple[type, ...]', 'Dict[str, Any]']","['', '', '', '']",None,[],,103,__init__,"['self', 'name', 'bases', 'dict']",4,4
27,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,new,,,"['cl', 'o']","['', 'object']","['', '']",type,[],,105,__new__,"['cls', 'o']",2,2
28,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,new,,,"['cl', 'name', 'base', 'namespace']","['', 'str', 'Tuple[type, ...]', 'Dict[str, Any]']","['', '', '', '']",type,[],,107,__new__,"['cls', 'name', 'bases', 'namespace']",4,4
29,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,call,,,"['self', 'args']","['', 'Any']","['', '']",Any,[],,108,__call__,"['self', 'args']",2,2
30,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,subclass,,,['self'],['_TT'],[''],List[_TT],[],,109,__subclasses__,['self'],1,1
31,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,mro,,,['self'],[''],[''],List[type],[],,112,mro,['self'],1,1
32,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,instancecheck,,,"['self', 'instance']","['', 'Any']","['', '']",bool,[],,113,__instancecheck__,"['self', 'instance']",2,2
33,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,subclasscheck,,,"['self', 'subclass']","['', 'type']","['', '']",bool,[],,114,__subclasscheck__,"['self', 'subclass']",2,2
34,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,prepare,,,"['metacls', 'name', 'base']","['', 'str', 'Tuple[type, ...]']","['', '', '']","Mapping[str, Any]",[],,116,__prepare__,"['metacls', '__name', '__bases']",3,3
35,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,init,,,"['self', 't', 'obj']","['', 'Any', 'Any']","['', '', '']",None,[],,120,__init__,"['self', 't', 'obj']",3,3
36,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,init,,,"['self', 't']","['', 'Any']","['', '']",None,[],,122,__init__,"['self', 't']",2,2
37,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,init,,,['self'],[''],[''],None,[],,124,__init__,['self'],1,1
38,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,init,,,"['self', 'x']","['', 'Union[Text, bytes, SupportsInt, _SupportsIndex]']","['', '']",None,[],,128,__init__,"['self', 'x']",2,2
39,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,init,,,"['self', 'x', 'base']","['', 'Union[Text, bytes, bytearray]', 'int']","['', '', '']",None,[],,130,__init__,"['self', 'x', 'base']",3,3
40,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,a integer ratio,,,['self'],[''],[''],"Tuple[int, Literal[1]]",[],,133,as_integer_ratio,['self'],1,1
41,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,real,,,['self'],[''],[''],int,[],,135,real,['self'],1,1
42,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,imag,,,['self'],[''],[''],int,[],,137,imag,['self'],1,1
43,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,numerator,,,['self'],[''],[''],int,[],,139,numerator,['self'],1,1
44,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,denominator,,,['self'],[''],[''],int,[],,141,denominator,['self'],1,1
45,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,conjugate,,,['self'],[''],[''],int,[],,142,conjugate,['self'],1,1
46,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,bit length,,,['self'],[''],[''],int,[],,144,bit_length,['self'],1,1
47,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,to byte,,,"['self', 'length', 'byteorder']","['', 'int', 'str']","['', '', '']",bytes,[],,145,to_bytes,"['self', 'length', 'byteorder']",3,3
48,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,from byte,,,"['cl', 'byte', 'byteorder']","['', 'Union[Iterable[int], SupportsBytes]', 'str']","['', '', '']",int,[],,147,from_bytes,"['cls', 'bytes', 'byteorder']",3,3
49,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,add,,,"['self', 'x']","['', 'int']","['', '']",int,[],,150,__add__,"['self', 'x']",2,2
50,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,sub,,,"['self', 'x']","['', 'int']","['', '']",int,[],,151,__sub__,"['self', 'x']",2,2
51,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,mul,,,"['self', 'x']","['', 'int']","['', '']",int,[],,152,__mul__,"['self', 'x']",2,2
52,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,floordiv,,,"['self', 'x']","['', 'int']","['', '']",int,[],,153,__floordiv__,"['self', 'x']",2,2
53,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,truediv,,,"['self', 'x']","['', 'int']","['', '']",float,[],,154,__truediv__,"['self', 'x']",2,2
54,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,mod,,,"['self', 'x']","['', 'int']","['', '']",int,[],,155,__mod__,"['self', 'x']",2,2
55,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,divmod,,,"['self', 'x']","['', 'int']","['', '']","Tuple[int, int]",[],,156,__divmod__,"['self', 'x']",2,2
56,tmp_author,tmp_repo,./project/tmp_author__tmp_repo/tmp.py,True,radd,,,"['self', 'x']","['', 'int']","['', '']",int,[],,157,__radd__,"['self', 'x']",2,2
