,enc,type,count
0,943,str,20112
1,869,bool,8648
2,897,int,8028
3,216,"Dict[str, Any]",2517
4,887,float,2329
5,546,Optional[str],2184
6,881,dict,1610
7,958,torch.Tensor,1497
8,409,List[str],1477
9,872,bytes,1250
10,304,HomeAssistant,1111
11,699,Tensor,1108
12,918,np.ndarray,1036
13,541,Optional[int],985
14,305,HomeAssistantType,964
15,813,UserProfile,742
16,165,ConfigEntry,563
17,205,Dict,502
18,308,HttpResponse,494
19,307,HttpRequest,470
20,121,Callable,465
21,950,tf.Tensor,421
22,77,Address,408
23,927,pd.DataFrame,399
24,405,List[int],397
25,558,Path,389
26,189,DataFrame,353
27,233,"Dict[str, str]",328
28,878,datetime,322
29,540,Optional[float],319
30,535,Optional[bool],299
31,594,Realm,279
32,651,Set[str],262
33,607,Response,258
34,921,object,248
35,602,Request,241
36,362,"List[Dict[str, Any]]",241
37,485,"Optional[Dict[str, Any]]",235
38,899,list,228
39,164,Config,217
40,684,T,214
41,884,ep.Tensor,208
42,166,ConfigType,201
43,237,"Dict[str, torch.Tensor]",190
44,979,typing.Any,179
45,81,AiohttpClientMocker,177
46,339,Iterable[str],174
47,975,tp.Optional[int],171
48,112,BlockHeaderAPI,171
49,433,Message,167
50,114,BlockNumber,161
51,877,core.HomeAssistant,161
52,507,Optional[List[str]],155
53,731,Tuple,153
54,357,List,146
55,426,"Mapping[str, Any]",143
56,38,"""""""Series""""""",141
57,932,pytest.fixture,139
58,642,Session,139
59,685,TP,139
60,113,BlockIdentifier,137
61,275,FlaskResponse,130
62,443,Model,129
63,10,"""""""DataFrame""""""",128
64,298,Hash32,127
65,667,State,122
66,191,DataPoint,121
67,85,App,118
68,963,tp.Any,116
69,382,List[RaidenService],114
70,90,ArrayLike,114
71,712,TokenAmount,113
72,169,Context,113
73,857,ast.AST,113
74,459,NettingChannelState,111
75,743,"Tuple[int, int]",110
76,150,Client,110
77,122,"Callable[..., Any]",107
78,39,"""""""Settings""""""",102
79,635,Sequence[str],101
80,420,MagicMock,101
81,994,web.Request,100
82,646,Set[TP],100
83,143,ChainState,99
84,925,p.Parameter,99
85,906,mock.MagicMock,97
86,315,Index,95
87,977,tuple,95
88,536,Optional[bytes],95
89,711,TokenAddress,95
90,256,Exception,94
91,530,Optional[UserProfile],94
92,360,List[Any],93
93,669,StateApps,90
94,586,Query,90
95,101,BaseComputation,90
96,188,DataEntry,89
97,86,AppT,88
98,34,"""""""QueueDict""""""",86
99,750,"Tuple[str, str]",86
100,231,"Dict[str, int]",86
101,196,DatabaseSchemaEditor,86
102,788,"Union[int, float]",85
103,279,FrameOrSeries,82
104,9,"""""""ContactList""""""",82
105,421,Manifest,81
106,254,Event,80
107,824,VizData,79
108,810,User,79
109,56,"""""""ks.Series""""""",78
110,714,TokenNetworkRegistryAddress,77
111,519,Optional[Tensor],77
112,488,Optional[Dict],77
113,474,Optional[Any],77
114,876,config_entries.ConfigEntry,76
115,746,"Tuple[str, ...]",75
116,438,Mock,75
117,403,List[dict],72
118,255,EventT,72
119,762,URL,72
120,197,Dataset,72
121,511,Optional[Realm],72
122,821,View,72
123,650,Set[int],71
124,978,type,70
125,713,TokenNetworkAddress,70
126,637,Series,70
127,217,"Dict[str, Dict[str, Any]]",70
128,36,"""""""RaidenService""""""",69
129,870,bool_t,69
130,374,List[List[str]],69
131,103,BaseException,68
132,207,"Dict[Any, Any]",67
133,619,Scope,66
134,461,Node,64
