,enc,type,count
0,3834,str,20112
1,3600,bool,8648
2,3707,int,8028
3,804,"Dict[str, Any]",2517
4,3677,float,2329
5,2370,Optional[str],2184
6,3651,dict,1610
7,3867,torch.Tensor,1497
8,1702,List[str],1477
9,3604,bytes,1250
10,1146,HomeAssistant,1111
11,2939,Tensor,1108
12,3766,np.ndarray,1036
13,2352,Optional[int],985
14,1147,HomeAssistantType,964
15,3430,UserProfile,742
16,633,ConfigEntry,563
17,748,Dict,502
18,1157,HttpResponse,494
19,1156,HttpRequest,470
20,482,Callable,465
21,3851,tf.Tensor,421
22,308,Address,408
23,3786,pd.DataFrame,399
24,1687,List[int],397
25,2435,Path,389
26,703,DataFrame,353
27,880,"Dict[str, str]",328
28,3646,datetime,322
29,2348,Optional[float],319
30,2328,Optional[bool],299
31,2577,Realm,279
32,2822,Set[str],262
33,2646,Response,258
34,3773,object,248
35,2630,Request,241
36,1447,"List[Dict[str, Any]]",241
37,2012,"Optional[Dict[str, Any]]",235
38,3724,list,228
39,632,Config,217
40,2906,T,214
41,3663,ep.Tensor,208
42,637,ConfigType,201
43,884,"Dict[str, torch.Tensor]",190
44,3927,typing.Any,179
45,314,AiohttpClientMocker,177
46,1290,Iterable[str],174
47,3896,tp.Optional[int],171
48,447,BlockHeaderAPI,171
49,1788,Message,167
50,453,BlockNumber,161
51,3628,core.HomeAssistant,161
52,2121,Optional[List[str]],155
53,3019,Tuple,153
54,1361,List,146
55,1760,"Mapping[str, Any]",143
56,180,"""""""Series""""""",141
57,3799,pytest.fixture,139
58,2806,Session,139
59,2911,TP,139
60,448,BlockIdentifier,137
61,1018,FlaskResponse,130
62,1815,Model,129
63,51,"""""""DataFrame""""""",128
64,1134,Hash32,127
65,2864,State,122
66,706,DataPoint,121
67,331,App,118
68,3876,tp.Any,116
69,1547,List[RaidenService],114
70,347,ArrayLike,114
71,2971,TokenAmount,113
72,653,Context,113
73,3564,ast.AST,113
74,1861,NettingChannelState,111
75,3119,"Tuple[int, int]",110
76,599,Client,110
77,486,"Callable[..., Any]",107
78,184,"""""""Settings""""""",102
79,2787,Sequence[str],101
80,1742,MagicMock,101
81,3985,web.Request,100
82,2814,Set[TP],100
83,585,ChainState,99
84,3782,p.Parameter,99
85,3739,mock.MagicMock,97
86,1190,Index,95
87,3920,tuple,95
88,2331,Optional[bytes],95
89,2970,TokenAddress,95
90,960,Exception,94
91,2306,Optional[UserProfile],94
92,1396,List[Any],93
93,2866,StateApps,90
94,2531,Query,90
95,397,BaseComputation,90
96,702,DataEntry,89
97,333,AppT,88
98,159,"""""""QueueDict""""""",86
99,3138,"Tuple[str, str]",86
100,874,"Dict[str, int]",86
101,713,DatabaseSchemaEditor,86
102,3357,"Union[int, float]",85
103,1037,FrameOrSeries,82
104,45,"""""""ContactList""""""",82
105,1744,Manifest,81
106,948,Event,80
107,3462,VizData,79
108,3418,User,79
109,246,"""""""ks.Series""""""",78
110,2976,TokenNetworkRegistryAddress,77
111,2223,Optional[Tensor],77
112,2022,Optional[Dict],77
113,1943,Optional[Any],77
114,3619,config_entries.ConfigEntry,76
115,3126,"Tuple[str, ...]",75
116,1808,Mock,75
117,1685,List[dict],72
118,954,EventT,72
119,3214,URL,72
120,714,Dataset,72
121,2173,Optional[Realm],72
122,3453,View,72
123,2820,Set[int],71
124,3921,type,70
125,2974,TokenNetworkAddress,70
126,2792,Series,70
127,815,"Dict[str, Dict[str, Any]]",70
128,161,"""""""RaidenService""""""",69
129,3601,bool_t,69
130,1504,List[List[str]],69
131,400,BaseException,68
132,755,"Dict[Any, Any]",67
133,2704,Scope,66
134,1869,Node,64
135,1671,List[ZerverFieldsT],64
136,3877,tp.ArrayLike,64
137,3149,Type,64
138,3929,typing.Callable,63
139,1315,JSONRPCClient,63
140,77,"""""""GroupList""""""",63
141,3562,argparse.Namespace,61
142,2342,Optional[dict],61
143,2880,Stream,60
144,3858,timedelta,60
145,711,DatabaseAPI,60
146,3647,datetime.datetime,59
147,628,ComputationAPI,59
148,2890,Structure,58
149,1454,List[Dict],58
150,2794,ServerConnectivityInfo,58
151,2714,SecretHash,58
152,587,ChannelID,58
153,2378,Optional[torch.Tensor],57
154,3756,mx.nd.NDArray,57
155,3800,random.Random,57
156,3533,_Response,57
157,2853,Span,56
158,3465,Vocabulary,56
159,3930,typing.Dict,56
160,2563,RaidenService,56
161,1681,List[bytes],55
162,2027,Optional[Dtype],55
163,2341,Optional[datetime],54
164,735,Defx,53
165,610,CodecArg,53
166,52,"""""""Database""""""",53
167,1453,"List[Dict[str, str]]",53
168,2733,Send,52
169,2582,Receive,52
170,3455,ViewFuncT,52
171,878,"Dict[str, object]",52
172,2474,Pond,51
173,3134,"Tuple[str, int, Dict[str, str]]",51
174,475,CALLBACK_TYPE,51
175,2886,StreamT,51
176,3435,VT,50
177,3861,torch.BoolTensor,50
178,3608,click.Context,49
179,548,"Callable[[], None]",49
180,2020,"Optional[Dict[str, str]]",49
181,3361,"Union[int, str]",49
182,1686,List[float],49
183,344,ArgumentParser,49
184,2119,Optional[List[int]],48
185,3387,"Union[str, bytes]",48
186,3860,tokenize.TokenInfo,48
187,2833,SignedTransactionAPI,48
188,2819,Set[UniqueId],48
189,382,Axis,47
190,3764,np.array,47
191,3591,asyncio.AbstractEventLoop,47
192,71,"""""""Gateway""""""",47
193,276,APIServer,47
194,2536,QueryObjectDict,47
195,1951,Optional[BaseException],47
196,3118,"Tuple[int, int, int]",47
197,902,DriveSource,46
198,1706,List[tf.Tensor],46
199,2875,StorageOptions,46
200,1359,Line,46
201,1352,Leaf,44
202,642,Connection,44
203,60,"""""""Flow""""""",44
204,3248,"Union[ArrayLike, float]",44
205,2294,"Optional[Union[str, List[str]]]",44
206,3431,V,44
207,3728,logging.Logger,44
208,2837,SimulatedSupervisor,43
209,1752,Mapping,43
210,115,"""""""Node""""""",43
211,982,F,43
212,3473,WebSocket,43
213,2566,Random,43
214,613,CollectionT,42
215,1224,Item,42
216,454,BlockTimeout,42
217,1226,Iterable,42
218,1657,List[UserProfile],42
219,2477,PondPublicTensor,42
220,672,Coordinator,42
221,689,CustomObjectsApi,42
222,3819,socket.socket,42
223,1038,FrameOrSeriesUnion,41
224,1328,K,41
225,2712,Seconds,41
226,1136,Hashable,41
227,3233,"Union['Series', 'DataFrame']",41
228,2926,Task,41
229,494,"Callable[..., None]",40
230,82,"""""""Index""""""",40
231,3107,"Tuple[float, float]",40
232,1860,NettingChannelEndState,40
233,3165,Type[Any],40
234,1324,JsonDict,40
235,1149,HomematicipHAP,40
236,1354,LearnerReturnType,39
237,3471,Web3,39
238,3380,"Union[str, Path]",39
239,2636,RequestInterceptor,39
240,2476,PondPrivateTensor,39
241,1330,KT,39
242,3942,typing.List[str],39
243,2786,Sequence[int],39
244,986,FakeTime,39
245,204,"""""""Task""""""",38
246,2999,Transformation,38
247,896,DockerClient,38
248,221,"""""""Units""""""",38
249,361,AtomicDatabaseAPI,38
250,2935,TemplateVarsType,38
251,2722,Select,38
252,440,BlockAPI,38
253,1200,InitializerSpecs,38
254,3500,ZerverFieldsT,37
255,534,"Callable[[List[Entity], bool], None]",37
256,242,"""""""datetime""""""",37
257,322,AnyFunctionDef,37
258,12,"""""""Axes""""""",37
259,1804,MiningChain,37
260,894,Doc,37
261,658,ContractManager,37
262,231,"""""""WindowList""""""",37
263,3402,"Union[torch.Tensor, Tuple[torch.Tensor, torch.Tensor]]",37
264,1016,Flask,37
265,1697,List[np.ndarray],36
266,2679,RuntimeConfig,36
267,3546,agate.Table,36
268,872,"Dict[str, float]",36
269,2901,SupportedHashes,36
270,3986,web.Response,36
271,701,DataCatalog,36
272,2365,Optional[np.ndarray],36
273,584,ChainID,36
274,1163,IO,36
275,2495,Predictor,35
276,2077,Optional[IndexLabel],35
277,3833,steps.Step,35
278,3865,torch.Size,35
279,3570,ast.Call,35
280,908,DtypeObj,35
281,618,CommandLineOptions,35
282,685,Criterion,34
283,710,Database,34
284,1634,"List[Tuple[int, int]]",34
